Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
0.0,0.0,0.1166,0.6468,0.7293,0.2002,0.8294,2.057
0.0,0.0,0.1166,0.6468,0.7293,0.4004,0.9295,2.057
0.0,0.0,0.1166,0.6468,0.9724,0.0,0.9724,2.057
0.0,0.0,0.1166,0.6468,0.9724,0.2002,1.0725,2.057
0.0,0.0,0.1166,0.8624,0.0,0.0,0.0,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.2002,0.1001,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.4004,0.2002,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.6006,0.3003,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.8008,0.4004,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.0,0.2431,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.2002,0.3432,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.4004,0.4433,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.6006,0.5434,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.0,0.4862,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.2002,0.5863,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.4004,0.6864,2.7038
0.0,0.0,0.1166,0.8624,0.7293,0.0,0.7293,2.7038
0.0,0.0,0.1166,0.8624,0.7293,0.2002,0.8294,2.7038
0.0,0.0,0.1166,0.8624,0.9724,0.0,0.9724,2.7038
0.0,0.0,0.2332,0.0,0.0,0.0,0.0,0.2332
0.0,0.0,0.2332,0.0,0.0,0.2002,0.1001,0.2332
0.0,0.0,0.2332,0.0,0.0,0.4004,0.2002,0.2332
0.0,0.0,0.2332,0.0,0.0,0.6006,0.3003,0.2332
0.0,0.0,0.2332,0.0,0.0,0.8008,0.4004,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.0,0.2431,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.2002,0.3432,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.4004,0.4433,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.6006,0.5434,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.8008,0.6435,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.0,0.4862,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.2002,0.5863,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.4004,0.6864,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.6006,0.7865,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.8008,0.8866,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.0,0.7293,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.2002,0.8294,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.4004,0.9295,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.6006,1.0296,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.8008,1.1297,0.2332
0.0,0.0,0.2332,0.0,0.9724,0.0,0.9724,0.2332
0.0,0.0,0.2332,0.0,0.9724,0.2002,1.0725,0.2332
0.0,0.0,0.2332,0.0,0.9724,0.4004,1.1726,0.2332
0.0,0.0,0.2332,0.0,0.9724,0.6006,1.2727,0.2332
0.0,0.0,0.2332,0.2156,0.0,0.0,0.0,0.88
0.0,0.0,0.2332,0.2156,0.0,0.2002,0.1001,0.88
0.0,0.0,0.2332,0.2156,0.0,0.4004,0.2002,0.88
0.0,0.0,0.2332,0.2156,0.0,0.6006,0.3003,0.88
0.0,0.0,0.2332,0.2156,0.0,0.8008,0.4004,0.88
0.0,0.0,0.2332,0.2156,0.2431,0.0,0.2431,0.88
0.0,0.0,0.2332,0.2156,0.2431,0.2002,0.3432,0.88
0.0,0.0,0.2332,0.2156,0.2431,0.4004,0.4433,0.88
0.0,0.0,0.2332,0.2156,0.2431,0.6006,0.5434,0.88
0.0,0.0,0.2332,0.2156,0.2431,0.8008,0.6435,0.88
0.0,0.0,0.2332,0.2156,0.4862,0.0,0.4862,0.88
0.0,0.0,0.2332,0.2156,0.4862,0.2002,0.5863,0.88
0.0,0.0,0.2332,0.2156,0.4862,0.4004,0.6864,0.88
0.0,0.0,0.2332,0.2156,0.4862,0.6006,0.7865,0.88
0.0,0.0,0.2332,0.2156,0.4862,0.8008,0.8866,0.88
0.0,0.0,0.2332,0.2156,0.7293,0.0,0.7293,0.88
0.0,0.0,0.2332,0.2156,0.7293,0.2002,0.8294,0.88
0.0,0.0,0.2332,0.2156,0.7293,0.4004,0.9295,0.88
0.0,0.0,0.2332,0.2156,0.7293,0.6006,1.0296,0.88
0.0,0.0,0.2332,0.2156,0.9724,0.0,0.9724,0.88
0.0,0.0,0.2332,0.2156,0.9724,0.2002,1.0725,0.88
0.0,0.0,0.2332,0.2156,0.9724,0.4004,1.1726,0.88
0.0,0.0,0.2332,0.4312,0.0,0.0,0.0,1.5268
0.0,0.0,0.2332,0.4312,0.0,0.2002,0.1001,1.5268
0.0,0.0,0.2332,0.4312,0.0,0.4004,0.2002,1.5268
0.0,0.0,0.2332,0.4312,0.0,0.6006,0.3003,1.5268
0.0,0.0,0.2332,0.4312,0.0,0.8008,0.4004,1.5268
0.0,0.0,0.2332,0.4312,0.2431,0.0,0.2431,1.5268
0.0,0.0,0.2332,0.4312,0.2431,0.2002,0.3432,1.5268
0.0,0.0,0.2332,0.4312,0.2431,0.4004,0.4433,1.5268
0.0,0.0,0.2332,0.4312,0.2431,0.6006,0.5434,1.5268
0.0,0.0,0.2332,0.4312,0.2431,0.8008,0.6435,1.5268
0.0,0.0,0.2332,0.4312,0.4862,0.0,0.4862,1.5268
0.0,0.0,0.2332,0.4312,0.4862,0.2002,0.5863,1.5268
0.0,0.0,0.2332,0.4312,0.4862,0.4004,0.6864,1.5268
0.0,0.0,0.2332,0.4312,0.4862,0.6006,0.7865,1.5268
0.0,0.0,0.2332,0.4312,0.7293,0.0,0.7293,1.5268
0.0,0.0,0.2332,0.4312,0.7293,0.2002,0.8294,1.5268
0.0,0.0,0.2332,0.4312,0.7293,0.4004,0.9295,1.5268
0.0,0.0,0.2332,0.4312,0.9724,0.0,0.9724,1.5268
0.0,0.0,0.2332,0.4312,0.9724,0.2002,1.0725,1.5268
0.0,0.0,0.2332,0.6468,0.0,0.0,0.0,2.1736
0.0,0.0,0.2332,0.6468,0.0,0.2002,0.1001,2.1736
0.0,0.0,0.2332,0.6468,0.0,0.4004,0.2002,2.1736
0.0,0.0,0.2332,0.6468,0.0,0.6006,0.3003,2.1736
0.0,0.0,0.2332,0.6468,0.0,0.8008,0.4004,2.1736
0.0,0.0,0.2332,0.6468,0.2431,0.0,0.2431,2.1736
0.0,0.0,0.2332,0.6468,0.2431,0.2002,0.3432,2.1736
0.0,0.0,0.2332,0.6468,0.2431,0.4004,0.4433,2.1736
0.0,0.0,0.2332,0.6468,0.2431,0.6006,0.5434,2.1736
0.0,0.0,0.2332,0.6468,0.4862,0.0,0.4862,2.1736
0.0,0.0,0.2332,0.6468,0.4862,0.2002,0.5863,2.1736
0.0,0.0,0.2332,0.6468,0.4862,0.4004,0.6864,2.1736
0.0,0.0,0.2332,0.6468,0.7293,0.0,0.7293,2.1736
0.0,0.0,0.2332,0.6468,0.7293,0.2002,0.8294,2.1736
0.0,0.0,0.2332,0.6468,0.9724,0.0,0.9724,2.1736
0.0,0.0,0.2332,0.8624,0.0,0.0,0.0,2.8204
0.0,0.0,0.2332,0.8624,0.0,0.2002,0.1001,2.8204
0.0,0.0,0.2332,0.8624,0.0,0.4004,0.2002,2.8204
0.0,0.0,0.2332,0.8624,0.0,0.6006,0.3003,2.8204
0.0,0.0,0.2332,0.8624,0.2431,0.0,0.2431,2.8204
0.0,0.0,0.2332,0.8624,0.2431,0.2002,0.3432,2.8204
0.0,0.0,0.2332,0.8624,0.2431,0.4004,0.4433,2.8204
0.0,0.0,0.2332,0.8624,0.4862,0.0,0.4862,2.8204
0.0,0.0,0.2332,0.8624,0.4862,0.2002,0.5863,2.8204
0.0,0.0,0.2332,0.8624,0.7293,0.0,0.7293,2.8204
0.0,0.0,0.3498,0.0,0.0,0.0,0.0,0.3498
0.0,0.0,0.3498,0.0,0.0,0.2002,0.1001,0.3498
0.0,0.0,0.3498,0.0,0.0,0.4004,0.2002,0.3498
0.0,0.0,0.3498,0.0,0.0,0.6006,0.3003,0.3498
0.0,0.0,0.3498,0.0,0.0,0.8008,0.4004,0.3498
0.0,0.0,0.3498,0.0,0.2431,0.0,0.2431,0.3498
0.0,0.0,0.3498,0.0,0.2431,0.2002,0.3432,0.3498
0.0,0.0,0.3498,0.0,0.2431,0.4004,0.4433,0.3498
0.0,0.0,0.3498,0.0,0.2431,0.6006,0.5434,0.3498
0.0,0.0,0.3498,0.0,0.2431,0.8008,0.6435,0.3498
0.0,0.0,0.3498,0.0,0.4862,0.0,0.4862,0.3498
0.0,0.0,0.3498,0.0,0.4862,0.2002,0.5863,0.3498
0.0,0.0,0.3498,0.0,0.4862,0.4004,0.6864,0.3498
0.0,0.0,0.3498,0.0,0.4862,0.6006,0.7865,0.3498
0.0,0.0,0.3498,0.0,0.4862,0.8008,0.8866,0.3498
0.0,0.0,0.3498,0.0,0.7293,0.0,0.7293,0.3498
0.0,0.0,0.3498,0.0,0.7293,0.2002,0.8294,0.3498
0.0,0.0,0.3498,0.0,0.7293,0.4004,0.9295,0.3498
0.0,0.0,0.3498,0.0,0.7293,0.6006,1.0296,0.3498
0.0,0.0,0.3498,0.0,0.9724,0.0,0.9724,0.3498
